name,cuisine,avg_del_time,avg_price_for_2,offers
Hitech Bawarchi,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Mehfil,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Rice Bowl,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Magnolia Bakery,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Meridian Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Spicy Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Soul Rasa,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Kakatiya Mess,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Nellore Ruchulu,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Subbayya Gari Hotel,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Raju Gari Biryani,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Daspalla Hotel,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shah Ghouse Cafe & Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
California Burrito,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shah Ghouse Hotel & Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Vasista's Sri Lakshmi,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shree Santosh Family Dhaba,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Lucky Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Sarvi Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
The Spicy Venue,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Srikanya,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Shadab Go,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Kodi Kura Chitti Gaare,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
